# case	construction	expected
valid-mixed	valid-mixed.tfdb	valid:4-blocks:8-framed-records:714-raw-bytes
one-volume-copy	valid-mixed;byte[0]=0x58	valid:other-volume-header-copy
both-volume-copies	one-volume-copy;byte[4096]=0x58	corrupt:open-error
corrupt-index	valid-mixed;byte[65536]=0x01	gap:index-rebuilt:4-blocks
corrupt-payload	valid-mixed;byte[12416]=0x01	gap:3-readable-blocks
torn-active-tail	valid-mixed;byte[77824]=0x58	valid:longest-prefix:3-blocks
corrupt-partition-header	valid-mixed;byte[8192]=0x58	gap:current-volume-header-damage
unsupported-major	valid-mixed;byte[8,4104]=0x02	unsupported:open-error
truncated	valid-mixed;length=100000	corrupt:open-error
feature-optional-metadata	feature-optional-metadata.tfdb	valid:unknown-metadata-only-feature-ignored:4-blocks
feature-required-unknown	feature-required-unknown.tfdb	unsupported:unknown-required-feature
feature-optional-region	feature-optional-region.tfdb	unsupported:unknown-feature-reserves-media
bounds-feature-region-overflow	bounds-feature-region-overflow.tfdb	gap:feature-region-u64-overflow:1-readable-block
bounds-volume-partition-size	bounds-volume-partition-size.tfdb	corrupt:volume-geometry-u64-overflow
stale-writer-chain	stale-writer-chain.tfdb	valid:stale-crash-suffix-ignored:A-D
live-rotation-01-before-reuse	live-rotation-01-before-reuse.tfdb	valid:generations-1-2:A-B
live-rotation-02-header-reused	live-rotation-02-header-reused.tfdb	valid:generation-1-overwritten:B
live-rotation-03-new-block	live-rotation-03-new-block.tfdb	valid:generations-2-3:B-C
